	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
83901	which is he 'd banked what on	he	PRON	which	nsubj	benefit	Joel benefit	(16, 22)	('(', '.')	Tracy says impatiently , and continues in somewhat more subdued tones for Joel 's benefit ( which is what he 'd banked on .
83902	that sets up mysteriously without anybody noticing and usually freaks the shit out of you right after lunch	anybody	PRON	that	nsubj	pulleysystem	The whole pulleysystem	(3, 20)	('pulleysystem', '.')	The whole pulleysystem that sets up mysteriously without anybody noticing and usually freaks the shit out of you right after lunch .
83903	who cares , really )	who	PRON	who	nsubj	finance	a living ( finance	(15, 19)	('-', ',')	Although Joel has no idea what Roger actually did for a living ( finance-who cares , really ) , the job meant long hours , a good salary , nice ties , and insane weekend benders with his wound-up co-workers from New Jersey , all of them trawling the streets of lower Manhattan coked out in the backs of cabs , sometimes even rented limos.
83904	who asks about what she does for a living	she	PRON	who	nsubj	guy	a guy	(20, 28)	('guy', '.')	Marya smiles at Joel like a woman deciding whether or not she could look past the fat for a guy who asks about what she does for a living .
83905	who grins with malice , with pleasure	who	PRON	who	nsubj	Tracy	Tracy	(6, 12)	(',', '.')	Joel looks innocently at Tracy , who grins with malice , with pleasure .
83906	which is warm and pleasingly rubbery , and a little moist with sweat	which	DET	which	nsubj	arm	s arm	(7, 19)	(',', '.')	He casually takes Tracy s arm , which is warm and pleasingly rubbery , and a little moist with sweat .
83907	who are walking with their heads	who	PRON	who	nsubj	Annalise	Annalise	(18, 23)	(',', 'inclined')	"Tracy looks up at him , then glances down the sidewalk , toward Annalise and Noah , who are walking with their heads inclined slightly toward each other , Noah listening , Annalise chattering . """
83908	who believes he is not being correctly understood	who	PRON	who	nsubj	someone	someone	(11, 18)	('someone', '.')	> Joel shakes his head , the unconscious gesture of someone who believes he is not being correctly understood .
83909	that made you want to bleach your teeth	you	PRON	that	nsubj	systems	right stereo systems	(11, 18)	('cameras', '.')	Nitrous left and right and personal stereo systems and trick cameras that made you want to bleach your teeth .
83910	that inspires good posture	that	DET	that	nsubj	kind	the kind	(9, 12)	('music', '.')	I could n't recognize-the kind of music that inspires good posture .
83911	that required a call to Maaco or the Car X man	that	DET	that	nsubj	one	Not a junky one	(4, 14)	('one', ',')	Not a junky one that required a call to Maaco or the Car X man , but a clean and steady hum .
83912	that finally gave him comfort	that	DET	that	nsubj	songs	the songs	(11, 15)	('about', '.')	It was the songs he 'd once been snobby about that finally gave him comfort .
83913	he thinks that will make him one	him	PRON	that	nsubj	words	the words	(18, 24)	('rhythms', '.')	To speak and to be spoken to like a man , to practice the words and rhythms that he thinks will make him one .
83914	who stayed sound asleep through all of Chris 's noise and Ray 's getting up and out of bed , bolts upright as soon as he opens the door	he	PRON	who	nsubj	Jara	Jara	(2, 30)	(',', '.')	Jara , who stayed sound asleep through all of Chris 's noise and Ray 's getting up and out of bed , bolts upright as soon as he opens the door .
83915	which is far below his agreed - upon potential	which	DET	which	nsubj	one	one	(13, 21)	('one', ',')	Even though Chris is only halfheartedly attending a Vermont junior college , one which is far below his agreed-upon potential , this is n't what has pissed Ray off .
83916	that was tucking freezing	that	DET	that	nsubj	time	this one time	(10, 13)	('Mountain', '.')	""" There was this one time at Black Mountain that was tucking freezing ."
83917	that I could	I	PRON	that	dobj	moment	every moment	(7, 9)	('moment', '.')	I would resist erasure every moment that I could .
83918	that matters	that	DET	that	nsubj	life	A life	(2, 3)	('life', '.')	A life that matters .
83919	at which I stood with my breasts and my mottled arms exposed	I	PRON	which	pobj	mammogram	the mammogram	(10, 21)	('at', 'As')	So , first there was the mammogram , at which I stood with my breasts and my mottled arms exposed .
83920	that you keep	you	PRON	that	dobj	hours	the hours	(5, 7)	('hours', ',')	I know the hours that you keep , can predict when you 'll come home .
83921	that we might	we	PRON	that	dobj	way	one way	(6, 8)	('way', ',')	but in only one way that we might , as though we have lost our knowledge of the other possibility .
83922	that started early on	that	DET	that	nsubj	ones	The ones	(2, 5)	('ones', '.')	The ones that started early on .
83923	that were invisible to me before	that	DET	that	nsubj	things	things	(3, 8)	('things', '.')	I see things that were invisible to me before .
83924	which is also a reference to the fight	which	DET	which	nsubj	Hal	Hal	(11, 18)	(',', 'but')	"baking pans "" ( supposing his name is Hal ) , which is also a reference to the fight"
83925	that can happen on a plane	that	DET	that	nsubj	much	only so much	(6, 11)	('much', '.')	There 's only so much that can happen on a plane .
83926	that means I can ask him anything now	I	PRON	that	nsubj	exhale	an expressive exhale	(30, 37)	('satisfaction', ',')	and he squeegees by , pooching his butt over and across the middle seat with happy little comradery noises and then , with an expressive exhale of self-satisfaction that means I can ask him anything now
83927	that is soothing	that	DET	that	nsubj	protocol	a protocol	(7, 9)	('protocol', ',')	Any contained space has a protocol that is soothing , the Spanish fans of its social dance .
83928	that make a pattern like scales	that	DET	that	nsubj	marks	check marks	(18, 23)	('blue', '.')	The fabric on this plane is blue on blue , light blue with check marks of darker blue that make a pattern like scales .
83929	that gets me to stick my book in with the magazines	that	DET	that	nsubj	line	the line	(6, 16)	('thinking', ',')	This is the line of thinking that gets me to stick my book in with the magazines , and I stick it in there demonstratively , giving the elastic a solid snap .
83930	that is a fake frown , like	that	DET	that	nsubj	kind	the kind	(16, 22)	('smile', 'That')	"Well ! "" says the marine with a nod of approval and the kind of smile that is a fake frown , like"
83931	that have lost their foam ear cushions	that	DET	that	nsubj	magazines	magazines	(18, 24)	('headphones', '.')	I scramble around in the middle pocket , too , and find nothing but magazines and headphones that have lost their foam ear cushions .
83932	which looks great because I spent a lot of time arranging the living room	I	PRON	which	nsubj	room	the living room	(11, 24)	(',', ',')	At this point , we 're in the living room , which looks great because I spent a lot of time arranging the living room , and people are lounging on multiple levels , one on the sofa with his legs stretched out , one , a woman in a peach-colored outfit , on the carpet , leaning sideways against the ottoman at the knees of another woman , this one in lavender
83933	that makes anything possible	anything	PRON	that	nsubj	pause	the pause	(16, 19)	('pause', ',')	if bona fide affection , it 's the magic of silence and stillness , the pause that makes anything possible , the mystery of the interior lives of animals , the sense of character one gets from a blooming field , or a craggy beach , or a drenched log , or a tundra , or a lawn , or a curving range of mountains .
83934	that mean a lot to me in this environment	that	DET	that	nsubj	words	both words	(40, 48)	('words', '.')	I feel good about the lavatory because of how the door only closes if you latch it and because when you latch the door the message behind the glass changes colors and slides from VACANT to OCCUPIED , both words that mean a lot to me in this environment .
83935	which I do	I	PRON	which	dobj	open	open	(11, 13)	(',', ';')	I think of swimming laps with my eyes open , which I do ; when I swim laps at home , I keep my wary eyes on the blue lane stripe beneath me as it wiggles in the water .
83936	who talks to the crowd	who	PRON	who	nsubj	guy	the guy	(4, 8)	('guy', '?')	""" You the guy who talks to the crowd ? "" <p>"
83937	who was calling on a hundred - dollar bet	who	PRON	who	nsubj	Sprissel	Sprissel	(3, 11)	(',', ',')	Sprissel , who was calling on a hundred-dollar bet , grunted approval .
83938	which hung from a hook in his locker	which	DET	which	nsubj	spikes	his cleat spikes	(18, 25)	(',', '.')	Sprissel took his pay stub from the attendant and pierced it through one of his cleat spikes , which hung from a hook in his locker .
83939	who had yet to receive my signature intros	who	PRON	who	nsubj	guys	guys	(6, 13)	('guys', '.')	The only complaints came from guys who had yet to receive my signature intros .
83940	that suggested half Nelson as much as lovers embrace	lovers	NOUN	that	nsubj	way	a way	(11, 19)	('way', '.')	"Sprissel and the girl would get tangled up in a way that suggested half Nelson as much as lovers embrace . """
83941	that smoked salmon	that	DET	that	nsubj	all	all	(6, 8)	('all', '.')	"I could get used to all that smoked salmon . """
83942	that caromed wildly off the right field wall	that	DET	that	nsubj	single	a long single	(23, 30)	('single', '.')	On the very next pitch , though , I swear , Sprissel scored all the way from first base on a long single that caromed wildly off the right field wall .
83943	that was exactly like my dreams and something important	that	DET	that	nsubj	country	a foreign country	(6, 14)	('country', 'was')	I was in a foreign country that was exactly like my dreams and something important
83944	which we replaced every morning while the adults slept	adults	NOUN	which	dobj	flowers	the pretty flowers	(10, 18)	(',', ',')	> Allison thanked us for the pretty flowers , which we replaced every morning while the adults slept , before we took the bikes with the woven baskets on the handlebars and the thumb bells to announce we were coming around a corner
83945	who loved her the way Dennis loved Allison : attentively , accommodatingly , loyally	Dennis	PROPN	who	nsubj	husband	a husband	(10, 23)	('husband', '.')	She wanted to have a husband still , a husband who loved her the way Dennis loved Allison : attentively , accommodatingly , loyally .
83946	who skipped when he ran and did n't mind wearing the red sweater Allison put on him when it was cold	it	PRON	who	nsubj	dog	a smart little dog	(24, 44)	('dog', '.')	> Libby had a black poodle , Brandy , a city dog in a small town in New Hampshire , a smart little dog who skipped when he ran and did n't mind wearing the red sweater Allison put on him when it was cold .
83947	that was steady and known	that	DET	that	nsubj	world	a world	(55, 59)	('world', '.')	I pictured myself in this retreating little world , smaller and smaller , the entirety of me persistent , resilient , my sister and my brother and my friend Libby wandering with me in every tiny Bourton-on-the-Water , like children searching for the magic door back to a world that was steady and known .
83948	which was very interesting to me	which	DET	which	nsubj	bra	a strapless bra	(8, 13)	(',', '.')	She had to wear a strapless bra , which was very interesting to me .
83949	that I sensed	I	PRON	that	nsubj	mystery	this mystery	(5, 7)	('mystery', 'was')	I watched this mystery that I sensed was coming to me , too .
83950	that called to me	that	DET	that	nsubj	something	something	(12, 15)	('new', '.')	I was caught between something old and safe and something very new that called to me .
83951	that gathered behind his ears	that	DET	that	nsubj	curls	the small curls	(17, 21)	('curls', '.')	I wanted to ask Libby if she had noticed his bright blue eyes or the small curls that gathered behind his ears .
83952	who had a new wife and new daughter	who	PRON	who	nsubj	father	my father	(9, 16)	(',', '.')	My crying moved from Michael to my father , who had a new wife and new daughter .
83953	whose laughter sounded like crying	laughter	NOUN	whose	poss	mother	My mother	(3, 7)	('mother', '.')	My mother whose laughter sounded like crying .
83954	which looked , already , like nothing more than a lump of dark green parka	which	DET	which	nsubj	body	shooter body	(12, 26)	(',', ',')	The rifle lay in the leaves beside the shooter 's body , which looked , already , like nothing more than a lump of dark green parka , threadbare corduroy trousers , and work boots .
83955	that remained to identify him	that	DET	that	nsubj	all	all	(9, 13)	('all', 'was')	From the base of his chin up , all that remained to identify him was the straight , rubber-black hair .
83956	that stung a little in the cold wind	that	DET	that	nsubj	patch	a patch	(20, 27)	('lip', '.')	He wore a mustache but had recently shaved it off , leaving a patch of lighter skin above his lip that stung a little in the cold wind .
83957	who 'd bought the property	who	PRON	who	nsubj	landlord	the landlord	(13, 17)	(',', 'intending')	His downstairs neighbor had moved away months ago ; the landlord , who 'd bought the property intending it for a summerhouse , lived down in Milwaukee .
83958	who 'd made the crossing alone in her thirties , pregnant and with very little English	who	PRON	who	nsubj	mother	her Norwegian mother	(11, 26)	(',', '.')	Sometimes she was the image of her Norwegian mother , who 'd made the crossing alone in her thirties , pregnant and with very little English .
83959	that was his backyard	that	DET	that	nsubj	parts	lawnmower parts	(20, 23)	('parts', ',')	He dropped them out of the window , down to the mud , melting snow , and scavenged lawnmower parts that was his backyard , and then he turned over the pill tray as well .
83960	that seemed to just rise up out of nowhere	that	DET	that	nsubj	buttes	all those weird sandstone buttes	(23, 31)	('buttes', '.')	If the weather was n't so bad , they could go to Mill Bluff and hike around all those weird white sandstone buttes that seemed to just rise up out of nowhere .
83961	that moves	that	DET	that	nsubj	anything	anything	(10, 11)	('anything', '.')	Think they can go anywhere they want , shoot anything that moves .
83962	that separated the restaurant from the bar	that	DET	that	nsubj	railing	the fake plated railing	(15, 21)	('railing', '.')	"the man asked , coming forward to lean over the fake gold-plated railing that separated the restaurant from the bar . """
83963	that peeked between her jeans and her sweater	that	DET	that	nsubj	skin	the skin	(13, 20)	('skin', '.')	He came back up her body , running his lips along the skin that peeked between her jeans and her sweater .
83964	who 'd got it in the back	who	PRON	who	nsubj	men	the men	(5, 11)	('men', 'had')	One of the men who 'd got it in the back had been plugged twice right at the base of his neck .
83965	that filled his apartment	that	DET	that	nsubj	shapes	the dark shapes	(34, 37)	('shapes', '.')	> Hansen rose for a time and paced between the bedroom and the bathroom , glaring at his reflection in the mirror for minutes on end , throwing out curses at the dark shapes that filled his apartment .
83966	who had nothing to sustain in the world but himself	who	PRON	who	nsubj	man	a man	(11, 20)	('man', '.')	There was work in the Cities , especially for a man who had nothing to sustain in the world but himself .
83967	that swaddled	that	DET	that	nsubj	air	the air	(5, 6)	('air', 'him')	The temperature of the air that swaddled him soared and plummeted as he lay down again on the sofa .
83968	that ranged out to the horizon	that	DET	that	nsubj	scrub	the scrub	(14, 19)	('scrub', ',')	His feet stirred the leaves ; but the trees above him , the scrub that ranged out to the horizon , nothing else moved .
83969	that bloomed	that	DET	that	nsubj	flower	the sick flesh - flower	(11, 12)	('flower', ',')	Wanted to look down and see the sick flesh-flower that bloomed , when the bullet went in , through what had only looked like a face , only looked like a person .
83970	that hung so loosely from her tiny frame	that	DET	that	nsubj	shirt	an oversize button shirt	(8, 15)	('shirt', 'it')	She wore an oversize button-down shirt that hung so loosely from her tiny frame
83971	that had happened	that	DET	that	nsubj	everything	everything	(11, 13)	('everything', '?')	Or was she grieving for her husband-despite everything that had happened ?
83972	that seemed neither resigned nor defiant , but merely an acknowledgment of the passing presence of another creature	that	DET	that	nsubj	smile	a smile	(18, 35)	('smile', '.')	Her eyes still showed him nothing , but for the briefest moment she smiled thinly-a smile that seemed neither resigned nor defiant , but merely an acknowledgment of the passing presence of another creature .
83973	which had been loose since she took up crew and lost weight	she	PRON	which	nsubj	ring	wife wedding ring	(7, 18)	(',', ',')	My wife 's wedding ring , which had been loose since she took up crew and lost weight , is somewhere at the bottom of the river .
83974	which he finds himself floating toward	himself	PRON	which	dobj	light	the light	(56, 61)	(',', '.')	He reaches for the light even though he knows he ca n't touch it without falling ; he feels happy and safe , heavy and weightless at the same time ; he reaches , the light is pulling him , and then he falls into the water and everything goes black except the light , which he finds himself floating toward .
83975	which is dark and autumn - cold	which	DET	which	nsubj	water	the water	(26, 32)	(',', ',')	She gives him enough time to resurface , probably not enough time , but she ca n't wait any longer and jumps into the water , which is dark and autumn-cold , though she does n't care about cold or anything except finding Max .
83976	who had complained	who	PRON	who	nsubj	parents	their parents	(30, 32)	(',', '.')	Now he spoke more than any other student , but the teachers were concerned about what he was saying ; some of the students had told their parents , who had complained .
83977	who knows what it was	it	PRON	who	nsubj	light	the light	(12, 16)	('-', '?')	He was leaning over the stern , reaching for the light-who knows what it was ?
83978	that was difficult	that	DET	that	nsubj	something	something	(12, 14)	('something', ',')	The Light Being was with me , and whenever I saw something that was difficult , like you and Mom fighting , he sort of paused the movie and loved me .
83979	that looks like my dog	that	DET	that	nsubj	dog	a dog	(9, 13)	('dog', '.')	She 's tall , and she has a dog that looks like my dog .
83980	that happened around the bubble I found myself in	I	PRON	that	nsubj	something	something	(10, 18)	('something', '.')	There were neither highs nor lows ; life was something that happened around the bubble I found myself in .
83981	that can smell cancer	that	DET	that	nsubj	dogs	dogs	(5, 8)	('dogs', ',')	""" They have dogs that can smell cancer , "" she said ."
83982	who 's sick	who	PRON	who	nsubj	friend	a close friend	(7, 9)	('friend', '.')	""" I have a very close friend who 's sick ."
83983	whose parents died two months apart when he was twelve	he	PRON	whose	poss	kid	the kid	(6, 15)	('kid', ',')	Max would be the kid whose parents died two months apart when he was twelve , yet look at how well he 's done :
83984	whom Rae introduced as her sister , Susan	Rae	PROPN	whom	dobj	was	was	(14, 21)	(',', '.')	There was another woman there , as short as Rae was tall , whom Rae introduced as her sister , Susan .
83985	who ate	who	PRON	who	nsubj	one	the only one	(16, 17)	('one', '.')	> Rae set out cheese and crackers and olives , but Max was the only one who ate .
83986	that sounded like monks chanting	that	DET	that	nsubj	music	music	(4, 8)	('music', ',')	Rae put on music that sounded like monks chanting , then closed her eyes .
83987	I suppose which are n't so strange after all	which	DET	which	nsubj	ideas	his strange ideas	(17, 25)	(',', '.')	his ability to know things it 's impossible to know , and his strange ideas , which I suppose are n't so strange after all .
83988	that might find their way to bare feet	that	DET	that	nsubj	slivers	any last slivers	(13, 20)	('slivers', '.')	He went dabbing with his broom , feeling for any last slivers that might find their way to bare feet .
83989	which were for families	which	DET	which	nsubj	floor	the first floor	(12, 15)	(',', '.')	And he had restored a few rooms on the first floor , which were for families .
83990	that had come undone	that	DET	that	nsubj	stairwell	a stairwell	(10, 13)	('stairwell', ',')	Close to the east wing there was a stairwell that had come undone , collapsing like an accordion and leaving handrails dangling into space .
83991	who collected the fees	who	PRON	who	nsubj	people	the rich people	(15, 18)	('people', 'had')	Even the garbage pickers had moved higher up the mountainside , and the rich people who collected the fees had moved away entirely .
83992	that they called steps	they	PRON	that	mark	path	the rocky path	(12, 15)	('path', '.')	the man approaching over the footbridge and up the rocky path that they called steps .
83993	which certainly indicated trickery of some sort	which	DET	which	nsubj	line	a blank line	(16, 22)	(',', '.')	He looked at the papers but did not see a blank line for signing , which certainly indicated trickery of some sort .
83994	that Amedeo kept in the stock room	Amedeo	PROPN	that	dobj	carpeting	the old carpeting	(20, 26)	('carpeting', '.')	Perhaps he should kill the man , and maybe afterward roll the body into some of the old carpeting that Amedeo kept in the stock room .
83995	that would take the man by a circuitous route into the auditorium	that	DET	that	nsubj	directions	directions	(13, 24)	('directions', '.')	On the back of one of the sheets , Victor drew directions that would take the man by a circuitous route into the auditorium .
83996	that means	that	DET	that	nsubj	hell	whatever the hell	(11, 12)	('hell', '.')	Worked for a while as a craftsman , whatever the hell that means .
83997	who understand you 're opposed to the economic advantages of recycling	you	PRON	who	nsubj	padrones	some important local padrones	(28, 38)	('padrones', '.')	approximately three years ago , where , much to my benefit , you got your name published on the shitlist of some very important people-local padrones who understand you 're opposed to the economic advantages of recycling .
83998	that shimmered in the half - light	that	DET	that	nsubj	pool	a pool	(6, 12)	('pool', '.')	Already it had formed a pool that shimmered in the half-light .
83999	who thinks he is my brother	he	PRON	who	nsubj	man	a man	(20, 25)	('man', '?')	""" You want me to leave my home , go with you to San Francisco , to meet a man who thinks he is my brother ? """
84000	who live in trailer parks and abandoned schools	who	PRON	who	nsubj	folks	folks	(10, 17)	('folks', 'might')	And , no offense , Mr. Muoz , but folks who live in trailer parks and abandoned schools might want to cut the rest of us a little slack in the weirdness department .
84001	who lived beneath the stairs of a department store , slipping in through ceiling tiles at night and letting out a wail when the watchman came to track him down	watchman	NOUN	who	nsubj	Guadalajara	Guadalajara	(9, 38)	(',', '.')	Victor himself knew of one , in Guadalajara , who lived beneath the stairs of a department store , slipping in through ceiling tiles at night and letting out a wail when the watchman came to track him down .
84002	that had happened between him and the sultan	that	DET	that	nsubj	all	all	(21, 28)	('all', '.')	when the wazir heard these words from his daughter , he told her , from first to last , all that had happened between him and the sultan .
84003	who would enter the dark room	who	PRON	who	nsubj	orderly	an orderly	(9, 14)	('orderly', ',')	Often it was no more than an orderly who would enter the dark room , adjust the controls , and turn away before hidden motors had ceased their straining .
84004	that would become his grave	that	DET	that	nsubj	monster	a prehistoric monster	(14, 18)	('muck', '.')	At other times he felt like a prehistoric monster sinking into the muck that would become his grave .
84005	who predicted catastrophe ,	who	PRON	who	nsubj	analysts	analysts	(2, 5)	('analysts', 'and')	and analysts who predicted catastrophe , and yet in every crisis he had survived .
84006	that you call a village	you	PRON	that	dobj	heap	the godforsaken heap	(6, 10)	('heap', '.')	And for the godforsaken heap that you call a village .
84007	that is talking now	that	DET	that	nsubj	disease	your disease	(7, 10)	('disease', '.')	"I think it is your disease that is talking now . """
84008	that blocked the far hall like a rockslide	that	DET	that	nsubj	stairway	a collapsed stairway	(16, 23)	('stairway', '.')	They passed the auditorium where he had first found Amedeo and turned toward a collapsed stairway that blocked the far hall like a rockslide .
84009	who built an empire on nothing but	who	PRON	who	nsubj	man	a man	(4, 10)	('man', '.')	I know a man who built an empire on nothing but .
84010	which used to be his father 's	which	DET	which	nsubj	coat	Zeke Carhartt coat	(5, 11)	(',', ',')	Zeke 's Carhartt coat , which used to be his father 's , is warm , and he 's wearing long Johns under his jeans .
84011	whom they call , for now	they	PRON	whom	dobj	way	the way	(12, 17)	('(', ',')	> Zeke and Katie and the baby on the way ( whom they call , for now , The Nugget ) live with Zeke 's mother , Violet , on the north side of town near the airport and the community college .
84012	that offer support and encouragement	that	DET	that	nsubj	letters	letters	(8, 12)	('him', '.')	She writes long , meandering letters to him that offer support and encouragement .
84013	which is Zeke 's age now	which	DET	which	nsubj	thirty	thirty	(8, 13)	(',', '.')	Poverty ceases to be ironic at thirty , which is Zeke 's age now .
84014	that look out on Lake Mendota	that	DET	that	nsubj	wall	the big wall	(19, 24)	('windows', '.')	He pretends he can see clear across the hall and conference room and through the big wall of windows that look out on Lake Mendota .
84015	who gave Zeke a job in the first place	who	PRON	who	nsubj	guy	the guy	(8, 16)	('guy', '.')	The thing is , Watts is the guy who gave Zeke a job in the first place .
84016	that contains a banana , a protein shake , and three yellow capsules	that	DET	that	nsubj	bag	a small Ziploc bag	(7, 19)	('bag', '.')	Pelly is carrying a small Ziploc bag that contains a banana , a protein shake , and three yellow capsules .
84017	that everybody is a little bit jealous of their blatant lust	everybody	PRON	that	mark	guesses	In , Zeke guesses	(6, 16)	('guesses', '.')	In fact , Zeke guesses that everybody is a little bit jealous of their blatant lust .
84018	who have no business attempting such a grueling race	who	PRON	who	nsubj	people	people	(7, 15)	('people', 'have')	It 's a major event and people who have no business attempting such a grueling race have started to enter .
84019	that 's blinking red	that	DET	that	nsubj	panel	an instrument panel	(31, 34)	('panel', '.')	<p> Cougar and Pelly have a small apartment , and smack in the middle of it , there 's Pelly 's giant treadmill , with an instrument panel that 's blinking red .
84020	who calls Zeke by his full name	who	PRON	who	nsubj	one	the only one	(5, 11)	('one', '.')	Pelly is the only one who calls Zeke by his full name .
84021	who is hell - bent on determination and self - discipline	who	PRON	who	nsubj	man	a man	(8, 18)	('man', '.')	Dr. Phil 's voice booms like a man who is hell-bent on determination and self-discipline .
84022	that echoes off of the windows	that	DET	that	nsubj	thunderstorm	a thunderstorm	(9, 14)	('thunderstorm', ',')	Tonight , the snoring is coupled with a thunderstorm that echoes off of the windows , rattling the panes .
84023	which requires the same kind of fine motor skills as threading a needle )	which	DET	which	nsubj	packet	the packet	(22, 35)	('(', ',')	At times , the procedure seems heartbreakingly complicated-grinding the beans into dust , separating the filter from the packet ( which requires the same kind of fine motor skills as threading a needle ) , bringing water from the sink to the reservoir of the automatic coffee maker .
84024	that I have a lot of money riding on	I	PRON	that	mark	race	a horse race	(19, 27)	('race', '.')	At times I get very urgent with my coffee , as if I am watching a horse race that I have a lot of money riding on .
84025	who drinks too much	who	PRON	who	nsubj	girl	a girl	(13, 16)	('girl', '.')	She has beautiful dark brown eyes , the ineffable sadness of a girl who drinks too much .
84026	who are bleeding and screaming and shocking one another with defibrillators	who	PRON	who	nsubj	people	people	(8, 18)	('people', '.')	, I should be surrounded by people who are bleeding and screaming and shocking one another with defibrillators .
84027	that called the ambulance	that	DET	that	nsubj	one	the one	(5, 8)	('one', '.')	I 'm the one that called the ambulance .
84028	which faces away from me , typing a little burst of fingernail clicks onto her keyboard	which	DET	which	nsubj	screen	her computer screen	(13, 28)	(',', '.')	But she is already looking away , staring at her computer screen , which faces away from me , typing a little burst of fingernail clicks onto her keyboard .
84029	that says : Are you going to give me trouble	you	PRON	that	nsubj	look	a look	(7, 16)	('look', '?')	firmly , and gives me a look that says : Are you going to give me trouble ?
84030	that I found in the purse	I	PRON	that	dobj	Mistys	the nasty Mistys	(43, 48)	('Mistys', '.')	""" <p> 8 <p> No SMOKING ON HOSPITAL GROUNDS , so I head out to the bus stop , on the sidewalk just beyond the parking lot , and stand there to smoke one of the nasty Mistys that I found in the purse ."
84031	who is talking on a cell phone	who	PRON	who	nsubj	orderly	an orderly	(12, 18)	('orderly', '.')	They walk along , single file , followed by an orderly who is talking on a cell phone .
84032	that held us together	that	DET	that	nsubj	connections	the connections	(11, 14)	('connections', 'grew')	and though I came back dutifully every year , the connections that held us together grew more threadbare as time went on .
84033	which is frequently a kind of advantage , particularly in Los Angeles	which	DET	which	nsubj	people	people	(7, 18)	(',', '.')	I seem vaguely familiar to people , which is frequently a kind of advantage , particularly in Los Angeles .
84034	who watches children 's programming on public television	who	PRON	who	nsubj	Anyone	Anyone	(1, 8)	('Anyone', 'has')	Anyone who watches children 's programming on public television has no doubt heard me utter this phrase .
84035	who stands holding the door open for them , following along	who	PRON	who	nsubj	guard	the security guard	(23, 33)	('guard', '@')	I can just walk right through along with them , just shadow them past the AUTHORIZED PERSONNEL sign , past the security guard who stands holding the door open for them , following along @ @
84036	that she told me about the husband	she	PRON	that	dative	moment	the moment	(5, 11)	('moment', ',')	Up until the moment that she told me about the husband , I 'd thought things were going pretty well between us-so perhaps not .
84037	that she does	she	PRON	that	dobj	way	the way	(17, 19)	('way', '-')	"<p> "" Fraj-ile , "" I say , pronouncing it the way that she does-"
84038	that leads to a dog cage	that	DET	that	nsubj	meat	luncheon meat	(19, 24)	('meat', ',')	At last , almost finished , I tempt them out of their lair with a trail of luncheon meat that leads to a dog cage , and when I close the metal door behind them , they gaze out through the bars at me with a dull , grief-stricken stare .
84039	who was calling himself Emanuel Lasker	who	PRON	who	nsubj	yid	a yid	(18, 23)	('yid', '.')	Now somebody has put a bullet in the brain of the occupant of 208 , a yid who was calling himself Emanuel Lasker .
84040	that figures in Landsman 's nightmares	that	DET	that	nsubj	word	a word	(9, 14)	('word', '.')	That one is called the Blackpool , a word that figures in Landsman 's nightmares .
84041	that was there all along	that	DET	that	nsubj	edge	edge	(1, 5)	('edge', '.')	edge that was there all along .
84042	that used smack	that	DET	that	nsubj	Jews	playing Jews	(14, 16)	('Jews', ',')	""" Seems like I 've known a lot of chess-playing Jews that used smack , "" Tenenboym says ."
84043	that Landsman puts down to a vanished life as a fat boy	Landsman	PROPN	that	dobj	chin	a double chin	(7, 18)	('chin', '.')	A trace of a double chin that Landsman puts down to a vanished life as a fat boy .
84044	that is the medicated yellow - green of a throat lozenge	that	DET	that	nsubj	carpet	the plush carpet	(8, 18)	('carpet', ',')	By the closet , on the plush carpet that is the medicated yellow-green of a throat lozenge , he spots a tiny white feather .
84045	which is a shorthand way of expressing the mathematical product of alcohol and firearms	which	DET	which	nsubj	crimes	called crimes	(14, 27)	(',', '.')	The rest of Sitka 's homicides are so-called crimes of passion , which is a shorthand way of expressing the mathematical product of alcohol and firearms .
84046	that was once white	that	DET	that	nsubj	couch	a couch	(21, 24)	('couch', ',')	He has been sandbagged by a vision of sitting in the grimy lounge of the Hotel Zamenhof , on a couch that was once white , playing chess with Emanuel Lasker , or whatever his real name was .
84047	that built Sitka Airfield	that	DET	that	nsubj	crew	the crew	(13, 16)	('crew', '.')	Hertz was conscripted for a road gang , then assigned to the crew that built Sitka Airfield .
84048	whose roof rang with steady rain	roof	NOUN	whose	poss	barn	a chilly barn	(10, 15)	('barn', '.')	Freydl was sent to school in a chilly barn whose roof rang with steady rain .
84049	that paraphrased Lincoln and Marx	that	DET	that	nsubj	lyrics	Yiddish lyrics	(18, 22)	('lyrics', '.')	, the work crews of young Jewesses in their blue headscarves , singing Negro spirituals with Yiddish lyrics that paraphrased Lincoln and Marx .
84050	that helped to ruin the game for Landsman as a child	that	DET	that	nsubj	style	the mournful agonized style	(11, 21)	('play', '.')	Even then he displayed the mournful , agonized style of play that helped to ruin the game for Landsman as a child .
84051	who handled their own feelings of guilt at having escaped the filth , the starvation , the ditches and killing factories by offering survivors a constant stream of advice , information , and criticism disguised as morale boosting	morale	NOUN	who	nsubj	kids	those Polar Bear kids	(9, 46)	('kids', '.')	But she was one of those Polar Bear kids who handled their own feelings of guilt at having escaped the filth , the starvation , the ditches and killing factories by offering survivors a constant stream of advice , information , and criticism disguised as morale boosting .
